ModelID,CellLineName,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,BLVRB_RNA,BLVRB_Protein,BLVRB_dependency,BLVRB_effect,Is_Breast_Cancer
ACH-000025,CH-157MN,CH157MN,CNS/Brain,Meningothelial Tumor,5.6735055443493625,,0.012793686,0.028520765,0
ACH-000026,253J-BV,253JBV,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,6.860130997826128,,0.233301292,-0.29629261,0
ACH-000027,GOS-3,GOS3,CNS/Brain,Diffuse Glioma,6.5501742103846246,,,,0
ACH-000028,KPL-1,KPL1,Breast,Invasive Breast Carcinoma,7.316435411010499,0.494066583,0.00698101,0.084327827,1
ACH-000029,HCC-827-GR5,HCC827GR5,Lung,Non-Small Cell Lung Cancer,6.538070950283514,,0.070282862,-0.119696289,0
ACH-000029,HCC-827-GR5,HCC827GR5,Lung,Non-Small Cell Lung Cancer,6.745210435998336,,0.070282862,-0.119696289,0
ACH-000030,PC-14,PC14,Lung,Non-Small Cell Lung Cancer,7.511333618467982,0.549596024,0.020424596,-0.005831033,0
ACH-000031,Panc 02.13,PANC0213,Pancreas,Pancreatic Adenocarcinoma,5.950909273955424,,,,0
ACH-000032,MHH-CALL-3,MHHCALL3,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,4.939076093213533,,,,0
ACH-000033,NCI-H1819,NCIH1819,Lung,Non-Small Cell Lung Cancer,7.352140558840416,,,,0
ACH-000034,PLB-985,PLB985,Myeloid,Acute Myeloid Leukemia,5.016581003538343,,,,0
ACH-000035,NCI-H1650,NCIH1650,Lung,Non-Small Cell Lung Cancer,8.141054655217536,0.794789451,0.037577334,-0.065880984,0
ACH-000036,U343,U343,CNS/Brain,Diffuse Glioma,7.477636856423124,,0.023007498,0.014653667,0
ACH-000037,S-117,S117,Soft Tissue,"Sarcoma, NOS",5.599767078005095,,0.026023992,0.02447093,0
ACH-000038,EHEB,EHEB,Lymphoid,Non-Cancerous,5.3478746760492,,,,0
ACH-000039,SK-N-MC,SKNMC,Bone,Ewing Sarcoma,6.249890899687531,1.186995309,0.09900081,-0.225367317,0
ACH-000040,U-118 MG,U118MG,CNS/Brain,Diffuse Glioma,6.282890113569198,-0.397873329,0.036832309,-0.048237694,0
ACH-000041,RD-ES,RDES,Bone,Ewing Sarcoma,4.463203920428625,,0.02400642,-0.024929321,0
ACH-000042,Panc 02.03,PANC0203,Pancreas,Pancreatic Adenocarcinoma,6.1647199171496485,-0.204298632,0.034874841,-0.0536679,0
ACH-000043,Hs 895.T,HS895T,Fibroblast,Non-Cancerous,5.871397664619252,,,,0
ACH-000044,MDA-MB-134-VI,MDAMB134VI,Breast,Invasive Breast Carcinoma,7.101030192478925,,,,1
ACH-000045,MV4-11,MV411,Myeloid,Acute Myeloid Leukemia,5.746656736157288,,0.069959661,-0.150389688,0
ACH-000046,ACHN,ACHN,Kidney,Renal Cell Carcinoma,5.889366455928995,,,,0
ACH-000047,GCIY,GCIY,Esophagus/Stomach,Esophagogastric Adenocarcinoma,,,0.084063392,-0.154441694,0
ACH-000048,TOV-112D,TOV112D,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.101664781962643,,0.009866154,0.021424434,0
ACH-000049,HEK TE,HEKTE,Kidney,Non-Cancerous,4.8146016910313625,,,,0
ACH-000050,NCI-H929,NCIH929,Lymphoid,Mature B-Cell Neoplasms,4.15647751916552,0.864490737,,,0
ACH-000051,TE 617.T,TE617T,Soft Tissue,Rhabdomyosarcoma,6.918600905236252,,,,0
ACH-000052,A-673,A673,Bone,Ewing Sarcoma,5.812169602561518,-0.786205465,0.001017328,0.354796708,0
ACH-000053,KARPAS-299,KARPAS299,Lymphoid,Mature T and NK Neoplasms,7.294161218694753,2.020484891,0.016502493,0.037804644,0
ACH-000054,HT-1080,HT1080,Soft Tissue,Fibrosarcoma,4.8330013757996095,-0.299998512,0.041021714,-0.061101329,0
ACH-000055,D283 Med,D283MED,CNS/Brain,Embryonal Tumor,6.489348649390549,,0.005816474,0.095745257,0
ACH-000056,DOHH-2,DOHH2,Lymphoid,Mature B-Cell Neoplasms,3.027928991066213,,,,0
ACH-000057,OPM-1,OPM1,Lymphoid,Mature B-Cell Neoplasms,5.612570714940786,,,,0
ACH-000058,ML-1,ML1,Thyroid,Well-Differentiated Thyroid Cancer,6.438194694403084,,,,0
ACH-000059,SUP-B15,SUPB15,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,4.329747911280691,,,,0
ACH-000060,Panc 10.05,PANC1005,Pancreas,Pancreatic Adenocarcinoma,6.1056676028983246,,0.038476014,-0.047891308,0
ACH-000061,HH,HH,Lymphoid,Non-Hodgkin Lymphoma,5.241455057642751,,,,0
ACH-000062,RERF-LC-MS,RERFLCMS,Lung,Non-Small Cell Lung Cancer,7.873899304804489,-0.028116079,,,0
ACH-000063,Hs 616.T,HS616T,Fibroblast,Non-Cancerous,5.794696579694947,,,,0
ACH-000064,SALE,SALE,Lung,Non-Cancerous,6.218703684766735,,,,0
ACH-000065,OCI-AML5,OCIAML5,Myeloid,Acute Myeloid Leukemia,5.236171133271724,0.511519771,,,0
ACH-000066,HCC4006,HCC4006,Lung,Non-Small Cell Lung Cancer,7.332752681552114,,,,0
ACH-000067,Hs 683,HS683,CNS/Brain,Diffuse Glioma,5.542276625119964,,0.007439127,0.143205705,0
ACH-000068,REC-1,REC1,Lymphoid,Mature B-Cell Neoplasms,2.673631044217615,-0.794136003,,,0
ACH-000069,Hs 611.T,HS611T,Lymphoid,Hodgkin Lymphoma,3.6839658819170262,,,,0
ACH-000070,697,697,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,3.997518234519788,-1.142151676,0.001727792,0.182092777,0
ACH-000071,Hs 706.T,HS706T,Fibroblast,Non-Cancerous,6.0203066166887895,,,,0
ACH-000072,MEG-01,MEG01,Myeloid,Myeloproliferative Neoplasms,7.879681263780722,,,,0
ACH-000073,GRANTA-519,GRANTA519,Lymphoid,Mature B-Cell Neoplasms,3.61271813962816,,,,0
ACH-000074,KU812,KU812,Myeloid,Myeloproliferative Neoplasms,8.961443906241987,,0.013433593,0.027344505,0
ACH-000075,U-87 MG,U87MG,CNS/Brain,Diffuse Glioma,8.023831960167156,0.992169921,0.013030426,0.093482767,0
ACH-000076,NCO2,NCO2,Myeloid,Myeloproliferative Neoplasms,7.964589238350754,,0.004139487,0.164225419,0
ACH-000077,MJ,MJ,Lymphoid,Non-Hodgkin Lymphoma,3.777661678713216,,0.032465036,-0.089627212,0
ACH-000078,MHH-NB-11,MHHNB11,Peripheral Nervous System,Neuroblastoma,3.255976517447833,,0.016384551,0.047177286,0
ACH-000079,TE 125.T,TE125T,Fibroblast,Non-Cancerous,5.678764908525651,,,,0
ACH-000080,BDCM,BDCM,Myeloid,Acute Myeloid Leukemia,4.241763929168877,,,,0
ACH-000081,GDM-1,GDM1,Myeloid,Acute Myeloid Leukemia,5.050458163445279,,,,0
ACH-000082,"G-292, clone A141B1",G292CLONEA141B1,Bone,Osteosarcoma,3.7637621131496486,,0.020623214,0.051139813,0
ACH-000083,Hs 281.T,HS281T,Fibroblast,Non-Cancerous,5.921572005553297,,,,0
ACH-000084,MUTZ-3,MUTZ3,Myeloid,Acute Myeloid Leukemia,5.207853817156533,,,,0
ACH-000085,T3M-4,T3M4,Pancreas,Pancreatic Adenocarcinoma,6.437152818581297,,0.024948557,-0.029910822,0
ACH-000086,ACC-MESO-1,ACCMESO1,Pleura,Pleural Mesothelioma,6.606693907898431,,0.029531843,-0.029043394,0
ACH-000087,SK-ES-1,SKES1,Bone,Ewing Sarcoma,4.265909415308832,-0.981237282,0.001581347,0.187616779,0
ACH-000088,Hs 172.T,HS172T,Fibroblast,Non-Cancerous,5.9502257671542464,,,,0
ACH-000089,NCI-H684,NCIH684,Bowel,Colorectal Adenocarcinoma,8.142556393209965,,,,0
ACH-000090,PC-3,PC3,Prostate,Prostate Adenocarcinoma,5.993624550327439,-0.440018879,0.026302534,-0.050630505,0
ACH-000091,OV56,OV56,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.107265208222271,-1.374676573,,,0
ACH-000092,NCI-H2452,NCIH2452,Pleura,Pleural Mesothelioma,7.11733141442816,,0.030866846,-0.005496317,0
ACH-000093,Panc 05.04,PANC0504,Pancreas,Pancreatic Adenocarcinoma,6.895302621333307,,0.041441545,-0.0718061,0
ACH-000094,HPAF-II,HPAFII,Pancreas,Pancreatic Adenocarcinoma,7.082511000603615,,0.020192828,0.061501538,0
ACH-000095,D341 Med,D341MED,CNS/Brain,Embryonal Tumor,4.536506780292933,,0.027709854,-0.023787383,0
ACH-000095,D341 Med,D341MED,CNS/Brain,Embryonal Tumor,4.3224185278323874,,0.027709854,-0.023787383,0
ACH-000096,G-401,G401,Kidney,Rhabdoid Cancer,6.380945850379667,-0.25244868,0.002099619,0.25437695,0
ACH-000097,ZR-75-1,ZR751,Breast,Invasive Breast Carcinoma,8.67411456889085,2.94969046,0.031046086,-0.039655398,1
ACH-000098,GAMG,GAMG,CNS/Brain,Diffuse Glioma,6.34957758953802,0.890559217,0.030914468,-0.013527063,0
ACH-000099,SIMA,SIMA,Peripheral Nervous System,Neuroblastoma,1.720173378914564,,0.015700915,0.022210664,0
ACH-000100,RH-41,RH41,Soft Tissue,Rhabdomyosarcoma,2.3348170933610155,-2.675637788,0.022246558,-0.032267197,0
ACH-000101,KE-37,KE37,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,4.243029230570231,,0.048809285,-0.096615772,0
ACH-000102,GMS-10,GMS10,CNS/Brain,Diffuse Glioma,5.9721848646443085,,,,0
ACH-000103,Caov-4,CAOV4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.4288090343897615,,0.025652323,0.007787754,0
ACH-000104,Loucy,LOUCY,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,3.4487450471036176,,,,0
ACH-000105,ALL-SIL,ALLSIL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,0.3541655114234928,,,,0
ACH-000106,JVM-2,JVM2,Lymphoid,Mature B-Cell Neoplasms,6.381092985116506,,0.0046605,0.217791702,0
ACH-000107,Capan-2,CAPAN2,Pancreas,Pancreatic Adenocarcinoma,6.83277611269166,,,,0
ACH-000108,KP-3,KP3,Pancreas,Adenosquamous Carcinoma of the Pancreas,7.603707934686504,,0.025311942,0.001337575,0
ACH-000109,NCI-H3255,NCIH3255,Lung,Non-Small Cell Lung Cancer,7.031593694351414,0.023190133,,,0
ACH-000110,NCC-StC-K140,NCCSTCK140,Esophagus/Stomach,Esophagogastric Adenocarcinoma,7.219275024218446,,,,0
ACH-000111,HCC1187,HCC1187,Breast,Invasive Breast Carcinoma,5.725727525534031,1.079968931,0.029848302,-0.046038095,1
ACH-000112,SIG-M5,SIGM5,Myeloid,Acute Myeloid Leukemia,4.154891001275856,,,,0
ACH-000113,OCI-AML2,OCIAML2,Myeloid,Acute Myeloid Leukemia,4.78554008980835,,0.008880706,0.044944982,0
ACH-000114,SU.86.86,SU8686,Pancreas,Pancreatic Adenocarcinoma,9.622480170376416,0.116409066,0.902333764,-0.934521997,0
ACH-000115,VCaP,VCAP,Prostate,Prostate Adenocarcinoma,3.553987091667861,-0.667807692,0.036024586,-0.000919181,0
ACH-000116,OAW28,OAW28,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.1372534895915365,,0.007345901,0.087119229,0
ACH-000117,EFM-192A,EFM192A,Breast,Invasive Breast Carcinoma,8.845154428496826,2.043122751,,,1
ACH-000118,HUP-T3,HUPT3,Pancreas,Pancreatic Adenocarcinoma,5.480316830627465,-1.003417733,0.018297645,-0.011340671,0
ACH-000119,Hs 863.T,HS863T,Fibroblast,Non-Cancerous,6.264324364763781,,,,0
ACH-000120,CHP-212,CHP212,Peripheral Nervous System,Neuroblastoma,4.402804021822086,,0.011748803,0.039358695,0
ACH-000121,NCI-H2405,NCIH2405,Lung,Non-Small Cell Lung Cancer,6.984088011039154,,,,0
ACH-000122,SUP-T11,SUPT11,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,4.509664175759681,,,,0
ACH-000123,COV434,COV434,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.142231659918011,,0.053236498,-0.119756319,0
ACH-000124,OCI-LY-19,OCILY19,Lymphoid,Mature B-Cell Neoplasms,3.470302578945822,,0.015788659,0.040311249,0
ACH-000125,TO 175.T,TO175T,Fibroblast,Non-Cancerous,5.946623262139879,,,,0
ACH-000126,KG-1-C,KG1C,CNS/Brain,Diffuse Glioma,6.429167353542916,,,,0
ACH-000127,SLR 20,SLR20,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.31285391962028,,0.010400059,0.05763612,0
ACH-000128,LN-319,LN319,CNS/Brain,Diffuse Glioma,5.474582057628271,,0.025993543,-0.032722378,0
ACH-000129,NCI-H1341,NCIH1341,Cervix,Small Cell Neuroendocrine Carcinoma of the Cervix,5.584454462401015,,,,0
ACH-000130,NALM-19,NALM19,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,4.160557210519096,,,,0
ACH-000131,Hs 229.T,HS229T,Fibroblast,Non-Cancerous,5.695289548175279,,,,0
ACH-000132,JHOS-2,JHOS2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.385358555478393,-0.22987636,0.011779434,0.053527489,0
ACH-000133,Hs 729,HS729,Fibroblast,Non-Cancerous,5.176877241881447,,0.032159416,-0.032569128,0
ACH-000134,Hs 274.T,HS274T,Fibroblast,Non-Cancerous,5.817981328862081,,,,0
ACH-000135,Hs 940.T,HS940T,Fibroblast,Non-Cancerous,5.49834661844592,,,,0
ACH-000136,CHP-126,CHP126,Peripheral Nervous System,Neuroblastoma,2.223731445138106,,,,0
ACH-000137,8-MG-BA,8MGBA,CNS/Brain,Diffuse Glioma,5.300339746485067,,0.015944659,0.024271121,0
ACH-000138,CFPAC-1,CFPAC1,Pancreas,Pancreatic Adenocarcinoma,6.657437076221987,-0.316622582,0.008783446,0.078748523,0
ACH-000139,Panc 03.27,PANC0327,Pancreas,Pancreatic Adenocarcinoma,4.8829853431688,,0.028508414,-0.006318611,0
ACH-000140,Pfeiffer,PFEIFFER,Lymphoid,Mature B-Cell Neoplasms,4.528777582012389,,,,0
ACH-000141,SNU-308,SNU308,Biliary Tract,Intracholecystic Papillary Neoplasm,8.097758260837436,,0.010286015,0.095996648,0
ACH-000142,CAL-29,CAL29,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,6.186348023880762,,0.029933459,-0.037898082,0
ACH-000143,HCC2429,HCC2429,Lung,Non-Small Cell Lung Cancer,4.862223240003823,,0.005383496,0.10155809,0
ACH-000143,HCC2429,HCC2429,Lung,Non-Small Cell Lung Cancer,4.528902575626386,,0.005383496,0.10155809,0
ACH-000144,RERF-GC-1B,RERFGC1B,Esophagus/Stomach,Esophagogastric Adenocarcinoma,6.813742718836313,,0.029057124,0.044589161,0
ACH-000145,SK-LMS-1,SKLMS1,Soft Tissue,Leiomyosarcoma,6.3771115993366445,,0.031873985,-0.008304958,0
ACH-000146,THP-1,THP1,Myeloid,Acute Myeloid Leukemia,4.749308996581777,-0.203599274,0.063905581,-0.083807744,0
ACH-000147,T-47D,T47D,Breast,Invasive Breast Carcinoma,7.573594174103116,1.415421727,0.030048265,-0.028997906,1
ACH-000148,Hs 578T,HS578T,Breast,Invasive Breast Carcinoma,6.379341974304914,,0.005716462,0.097975698,1
ACH-000149,SK-N-SH,SKNSH,Peripheral Nervous System,Neuroblastoma,4.824467472518917,,0.021488667,-0.039593441,0
ACH-000150,HCC2935,HCC2935,Lung,Non-Small Cell Lung Cancer,8.498446352228424,,,,0
ACH-000151,JM1,JM1,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,3.1546301921126942,1.061218479,0.002435277,0.253080837,0
ACH-000152,M059K,M059K,CNS/Brain,Diffuse Glioma,5.55360011336228,,0.012137264,0.085943925,0
ACH-000153,NCI-H2052,NCIH2052,Pleura,Pleural Mesothelioma,6.841922814875818,-0.02204448,0.007093062,0.170644541,0
ACH-000154,Hs 888.T,HS888T,Fibroblast,Non-Cancerous,5.964895310684796,,,,0
ACH-000155,SW 1990,SW1990,Pancreas,Pancreatic Adenocarcinoma,6.607895443567941,0.016215942,0.007797968,0.190092683,0
ACH-000156,MHH-CALL-4,MHHCALL4,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,4.609329465114813,,,,0
ACH-000157,A4/Fuk,A4FUK,Lymphoid,Mature B-Cell Neoplasms,5.9970665453987255,,,,0
ACH-000158,OCI-LY3,OCILY3,Lymphoid,Mature B-Cell Neoplasms,4.054822435333856,1.102970192,,,0
ACH-000159,OS-RC-2,OSRC2,Kidney,Renal Cell Carcinoma,7.354170026024857,1.257149583,0.025689007,0.00070604,0
ACH-000160,BT-12,BT12,CNS/Brain,Embryonal Tumor,5.105640367552224,,0.002479204,0.184933358,0
ACH-000161,COR-L105,CORL105,Lung,Non-Small Cell Lung Cancer,7.31820836394549,1.308281062,0.007927051,0.087861905,0
ACH-000162,GA-10,GA10,Lymphoid,Mature B-Cell Neoplasms,3.393435421632588,,,,0
ACH-000163,SW579,SW579,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.961901099049454,,0.021633392,0.007774662,0
ACH-000164,PANC-1,PANC1,Pancreas,Pancreatic Adenocarcinoma,4.755977126832415,-1.666053788,0.034611094,-0.025847316,0
ACH-000165,Hs 751.T,HS751T,Fibroblast,Non-Cancerous,5.955350005003246,,,,0
ACH-000166,Kasumi-6,KASUMI6,Myeloid,Acute Myeloid Leukemia,5.691249394373639,,,,0
ACH-000167,KE-97,KE97,Lymphoid,Mature B-Cell Neoplasms,4.846132220924911,,0.034510688,-0.080634226,0
ACH-000168,NOMO-1,NOMO1,Myeloid,Acute Myeloid Leukemia,5.781847524276954,,0.030550607,-0.037415018,0
ACH-000169,RD,RD,Soft Tissue,Rhabdomyosarcoma,5.479573341666543,-0.601769265,0.028573768,-0.044166478,0
ACH-000170,PrEC LH,PRECLH,Prostate,Non-Cancerous,4.808153335843235,,,,0
ACH-000171,VMRC-RCZ,VMRCRCZ,Kidney,Renal Cell Carcinoma,6.208421664826225,,,,0
ACH-000172,TM-87,TM87,Soft Tissue,Rhabdoid Cancer,7.589598717968194,,0.003565419,0.258521081,0
ACH-000173,JHUEM-3,JHUEM3,Uterus,Endometrial Carcinoma,5.588987410310288,,,,0
ACH-000174,CAL-62,CAL62,Thyroid,Anaplastic Thyroid Cancer,3.993819257930775,,0.02776913,-0.004973755,0
ACH-000175,TE159T,TE159T,Fibroblast,Non-Cancerous,5.546409879859655,,,,0
ACH-000176,LOU-NH91,LOUNH91,Lung,Non-Small Cell Lung Cancer,6.986718101021077,,0.021670647,0.074102323,0
ACH-000177,NCI-H660,NCIH660,Prostate,Prostate Small Cell Carcinoma,4.904960903271982,,,,0
ACH-000178,Hs 766T,HS766T,Pancreas,Pancreatic Adenocarcinoma,4.949651651195215,,0.008839352,0.037374157,0
ACH-000179,NCI-H1618,NCIH1618,Lung,Lung Neuroendocrine Tumor,3.949180051757633,,,,0
ACH-000180,Hs 839.T,HS839T,Fibroblast,Non-Cancerous,6.21950543271302,,,,0
ACH-000181,SCC-9,SCC9,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.916199543945852,,0.006834757,0.15399117,0
ACH-000182,SNU-869,SNU869,Ampulla of Vater,Ampullary Carcinoma,6.146292710852905,,0.017905215,0.020568008,0
ACH-000183,L-363,L363,Lymphoid,Mature B-Cell Neoplasms,6.586407477503995,,0.13754942,-0.208700789,0
ACH-000184,Hs  343.T,HS343T,Fibroblast,Non-Cancerous,6.007800983255429,,,,0
ACH-000185,Hs 737.T,HS737T,Fibroblast,Non-Cancerous,6.120063654591286,,,,0
ACH-000186,NCI-H2444,NCIH2444,Lung,Non-Small Cell Lung Cancer,7.238299638507123,,,,0
ACH-000187,COR-L311,CORL311,Lung,Lung Neuroendocrine Tumor,1.118778319239677,,0.00938845,0.112128719,0
ACH-000188,SCC-25,SCC25,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.294264166180952,-1.974296274,0.020333925,-0.019361261,0
ACH-000189,RCC10RGB,RCC10RGB,Kidney,Renal Cell Carcinoma,5.558307436213671,,0.002916383,0.324601896,0
ACH-000190,HD-MY-Z,HDMYZ,Myeloid,Acute Myeloid Leukemia,6.773429365341513,1.083808066,0.089312502,-0.202333675,0
ACH-000191,BHT-101,BHT101,Thyroid,Anaplastic Thyroid Cancer,4.215577651012204,,0.010269694,0.085745612,0
ACH-000192,MFE-280,MFE280,Uterus,Endometrial Carcinoma,6.4949355653671965,-0.284980828,0.093570252,-0.207735486,0
ACH-000193,KARPAS-620,KARPAS620,Lymphoid,Mature B-Cell Neoplasms,4.853182280692084,,,,0
ACH-000194,Hs 934.T,HS934T,Fibroblast,Non-Cancerous,5.954331265868688,,,,0
ACH-000195,Set-2,SET2,Myeloid,Acute Myeloid Leukemia,9.482561941629063,,0.071096813,-0.157853671,0
ACH-000196,HCC1599,HCC1599,Breast,Invasive Breast Carcinoma,6.534291986806974,,,,1
ACH-000197,TALL-1,TALL1,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,0.5503993271911514,,,,0
ACH-000198,EOL-1,EOL1,Myeloid,Acute Myeloid Leukemia,5.434081067274432,1.320507429,0.055126888,-0.099818559,0
ACH-000199,Hs 255.T,HS255T,Fibroblast,Non-Cancerous,5.626152905645104,,,,0
ACH-000200,NMC-G1,NMCG1,CNS/Brain,Diffuse Glioma,5.501378633501827,,0.003565343,0.266225216,0
ACH-000201,A-204,A204,Kidney,Rhabdoid Cancer,7.326860882816895,0.643234199,,,0
ACH-000202,COLO-320,COLO320,Bowel,Colorectal Adenocarcinoma,4.409832163612976,0.087844629,0.01113171,0.072125063,0
ACH-000203,NH-6,NH6,Peripheral Nervous System,Neuroblastoma,3.136923050119029,,0.009243012,0.191147144,0
ACH-000204,LP-1,LP1,Lymphoid,Mature B-Cell Neoplasms,6.566233697712128,,0.019693497,-0.007766226,0
ACH-000205,PK-59,PK59,Pancreas,Pancreatic Adenocarcinoma,6.215107772793806,,,,0
ACH-000206,C8166,C8166,Lymphoid,Non-Cancerous,3.117535473103619,,0.020170184,-0.02036017,0
ACH-000206,C8166,C8166,Lymphoid,Non-Cancerous,3.143597497603871,,0.020170184,-0.02036017,0
ACH-000207,Detroit 562,DETROIT562,Head and Neck,Head and Neck Squamous Cell Carcinoma,4.9036601536412165,-0.712694714,0.021848651,0.000930544,0
ACH-000208,U-178,U178,CNS/Brain,Diffuse Glioma,7.748199559783348,,0.008182605,0.16780628,0
ACH-000209,SNU-1079,SNU1079,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,6.412325954630161,-0.286895386,0.066395175,-0.144435177,0
ACH-000210,CADO-ES1,CADOES1,Bone,Ewing Sarcoma,5.005736816813163,,0.008260771,0.133961271,0
ACH-000211,Daoy,DAOY,CNS/Brain,Embryonal Tumor,4.344168057275035,-1.306489826,0.016449452,0.046510705,0
ACH-000212,CAL-120,CAL120,Breast,Invasive Breast Carcinoma,5.14774220970217,-0.727599527,0.008409858,0.079455266,1
ACH-000213,HUP-T4,HUPT4,Pancreas,Pancreatic Adenocarcinoma,5.237628723786168,-1.789864582,0.155942861,-0.209723823,0
ACH-000214,Hs 675.T,HS675T,Fibroblast,Non-Cancerous,6.312222249306306,,,,0
ACH-000215,LN382,LN382,CNS/Brain,Diffuse Glioma,7.286594723697563,,0.045999244,-0.056779528,0
ACH-000216,JH-EsoAd1,JHESOAD1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,6.467039772288588,,0.03628601,-0.010994928,0
ACH-000217,JHH-6,JHH6,Liver,Hepatocellular Carcinoma,7.3703648346965265,0.52484171,0.058039667,-0.100910501,0
ACH-000218,PL-21,PL21,Myeloid,Acute Myeloid Leukemia,5.827590410459593,,,,0
ACH-000219,A-375,A375,Skin,Melanoma,4.39229681270239,-1.193894793,0.007017502,0.057083259,0
ACH-000220,Mino,MINO,Lymphoid,Mature B-Cell Neoplasms,3.9239097947199992,,,,0
